Sample,Original.label,Treatment,Weeks.post.transplant,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW,Percent.Lym,Percent.Mon,Percent.Gra,Number.Lym,Number.Mon,Number.Gra,GFP
MIG.4,BMT1.MIG (REP cage 2/2),control,28,4.8,9,13.7,41.1,46,15.2,33.3,864,6.6,16.6,NA,NA,NA,2.4,0.4,2,69.1
MIG.5,BMT2.MIG (cage 2/2 BEP),control,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIG.6,BMT2.MIG (cage 2/2 LEP),control,27,5.4,10.28,15.1,46.2,45,14.7,32.6,814,5.8,15.2,NA,NA,NA,2.7,0.4,2.3,NA
MIG.7,BMT2.MIG (cage 1/2 LEP),control,27,8.9,10.07,15,46.4,46,14.9,32.4,1009,6.2,15,NA,NA,NA,5.7,0.7,2.5,NA
MIG.8,BMT2.MIG (cage 1/2 BEP),control,27,7.2,9.13,13.4,43.5,48,14.7,30.8,678,6.3,18.5,NA,NA,NA,4.3,0.6,2.3,NA
MIG.9,BMT2.MIG (cage 2/2 NEP),control,27,5.9,9.43,14.3,43,46,15.2,33.3,1804,6,15.7,NA,NA,NA,3.4,0.5,2,NA
MIG.10,BMT2.MIG (cage 2/2 REP),control,27,3.9,11.37,15.6,50.1,44,13.7,31.1,679,6.6,14.6,NA,NA,NA,2.2,0.3,1.4,NA
MIG.11,BMT2.MIG (cage 1/2 REP),control,27,5.1,9.89,14.3,45.3,46,14.4,31.5,536,6.6,16.3,NA,NA,NA,3.3,0.5,1.3,NA
miR532.1,BMT2.532-OE (cage 4/4 REP),miR-532,27,4,10.3,14.8,45.7,44,14.4,32.5,596,6.7,15.1,NA,NA,NA,1.6,0.3,2.1,NA
miR532.2,BMT2.532-OE (cage 3/4 LEP),miR-532,27,3.1,9.9,14.9,44.8,45,15.1,33.3,1174,5.9,15,NA,NA,NA,1.7,0.3,1.1,NA
miR532.3,BMT2.532-OE (cage 1/4 LEP),miR-532,27,5,10.11,15.5,47.1,47,15.3,32.9,1014,5.8,15,NA,NA,NA,2.2,0.3,2.5,NA
miR532.4,BMT2.532-OE (cage 2/4 LEP),miR-532,27,7.4,10.11,15.2,46.7,46,15,32.5,494,6.3,14.9,NA,NA,NA,3.5,0.6,3.3,NA
miR532.5,BMT2.532-OE (cage 1/4 REP),miR-532,27,6,10.56,15.5,48.7,46,14.7,31.8,1029,6,15.2,NA,NA,NA,3.7,0.5,1.8,NA
miR532.6,BMT2.532-OE (cage 1/4 NEP),miR-532,27,5.1,10.3,14.6,45.7,44,14.2,31.9,777,6,15.6,NA,NA,NA,2.5,0.4,2.2,NA
miR532.7,"BMT2.532-OE (cage 2/4, BEP)",miR-532,27,5,8.69,13.7,41.5,48,15.7,33,887,5.6,15.7,NA,NA,NA,3.2,0.4,1.4,NA
miR532.8,BMT2.532-OE (cage 3/4 BEP),miR-532,27,1.8,6.98,12.2,37.4,54,17.5,32.6,1163,6.2,17.2,NA,NA,NA,1.1,0.2,0.6,NA
miR532.9,BMT2.532-OE (cage 3/4 REP),miR-532,27,4.7,9.79,14.1,42.7,44,14.4,33,1196,6.1,16.3,NA,NA,NA,2.1,0.3,2.3,NA
miR532.10,BMT2.532-OE (cage 2/4 NEP),miR-532,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.11,BMT2.532-OE (cage 4/4 LEP),miR-532,27,6.4,9.73,14.7,44.6,46,15.1,33,946,5.7,15,NA,NA,NA,3.4,0.5,2.5,NA
miR532.12,BMT2.532-OE (cage 4/4 BEP),miR-532,27,3.3,9.77,14.1,44.1,45,14.5,32,665,5.7,14.7,NA,NA,NA,1.7,0.3,1.3,NA
miR532.13,BMT2.532-OE (cage 4/4 NEP),miR-532,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
miR532.14,BMT2.532-OE (cage 3/4 NEP),miR-532,27,6.8,10.32,14.4,45.9,44,14,31.5,887,5.9,16.2,NA,NA,NA,3.1,0.5,3.2,NA
miR532.15,BMT2.532-OE (cage 2/4 REP),miR-532,27,3.8,7.38,12,37.3,51,16.3,32.2,1126,5.8,16.2,NA,NA,NA,2.2,0.3,1.3,NA
miR532.16,BMT2.532-OE (cage 1/4 BEP),miR-532,27,5,9.01,13,39.4,44,14.4,33,1572,5.7,16,NA,NA,NA,2.2,0.3,2.5,NA
MIG.1,BMT1.MIG (NEP cage 1/2),control,32,11,8.26,13.8,42,51,16.6,32.7,923,5.7,16.3,NA,NA,NA,5.9,0.9,4.2,69.2
